Category,ID,Latitude,Longitude,Date,HLS_Tile,HLSS30_020_B01,HLSS30_020_B02,HLSS30_020_B03,HLSS30_020_B04,HLSS30_020_B05,HLSS30_020_B06,HLSS30_020_B07,HLSS30_020_B08,HLSS30_020_B09,HLSS30_020_B10,HLSS30_020_B11,HLSS30_020_B12,HLSS30_020_B8A,HLSS30_020_Fmask,HLSS30_020_Fmask_bitmask,HLSS30_020_Fmask_Aerosol_level,HLSS30_020_Fmask_Aerosol_level_Description,HLSS30_020_Fmask_Water,HLSS30_020_Fmask_Water_Description,HLSS30_020_Fmask_Snow/ice,HLSS30_020_Fmask_Snow/ice_Description,HLSS30_020_Fmask_Cloud_shadow,HLSS30_020_Fmask_Cloud_shadow_Description,HLSS30_020_Fmask_Adjacent_to_cloud/shadow,HLSS30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSS30_020_Fmask_Cloud,HLSS30_020_Fmask_Cloud_Description,"HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description"
US-Tw1_S2,1,38.1074,-121.6469,2016-09-02,10SFH,0.0092,0.0114,0.0274,0.0316,0.05,0.117,0.1476,0.1465,0.0252,0.0071,0.0877,0.048,0.1673,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2016-09-12,10SFH,0.0196,0.0208,0.0433,0.0472,0.0825,0.1993,0.2467,0.2468,0.0756,0.0007,0.1536,0.0789,0.2814,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2016-09-22,10SFH,0.0207,0.0199,0.0391,0.0462,0.075,0.1757,0.2182,0.2213,0.0844,0.001,0.1463,0.0771,0.2572,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2016-10-02,10SFH,0.3382,0.5244,0.5421,0.5276,0.5436,0.6217,0.651,0.7172,0.1506,0.0021,0.5496,0.4467,0.6749,66.0,0b01000010,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2016-10-12,10SFH,0.0202,0.0186,0.0392,0.0481,0.0795,0.173,0.2124,0.2183,0.0662,0.001,0.149,0.0784,0.2563,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2016-10-22,10SFH,0.0223,0.0199,0.0439,0.0535,0.0806,0.1543,0.1834,0.1889,0.0617,0.0147,0.1411,0.0875,0.2193,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2016-11-01,10SFH,-0.0333,-0.0131,-0.0024,0.003,0.0072,0.0266,0.0351,0.0352,-0.0019,0.0007,0.0324,0.0199,0.0427,200.0,0b11001000,0b11,High aerosol,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2016-11-11,10SFH,0.0389,0.0483,0.0795,0.089,0.1144,0.1812,0.2073,0.2104,0.0408,0.022,0.1769,0.1476,0.2281,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2016-11-21,10SFH,0.0239,0.0199,0.0391,0.0555,0.0767,0.1241,0.1497,0.154,0.0404,0.001,0.177,0.102,0.1839,132.0,0b10000100,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2016-12-01,10SFH,0.0272,0.0269,0.0418,0.0569,0.0778,0.1139,0.1342,0.1352,0.0631,0.0013,0.1809,0.1065,0.1606,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2016-12-11,10SFH,0.0484,0.0453,0.077,0.0915,0.1062,0.1402,0.1545,0.1653,0.0946,0.0178,0.1481,0.1478,0.1747,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2016-12-21,10SFH,0.0328,0.0381,0.0542,0.0801,0.0948,0.1168,0.1394,0.1455,0.035,0.0016,0.216,0.1314,0.1688,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2016-12-31,10SFH,0.5376,0.5008,0.4588,0.415,0.431,0.4541,0.4806,0.5078,0.1777,0.0033,0.367,0.3239,0.4992,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-01-30,10SFH,0.0637,0.0484,0.077,0.0972,0.125,0.1753,0.2051,0.2088,0.1282,0.0844,0.1691,0.1527,0.2326,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
