Category,ID,Latitude,Longitude,Date,HLS_Tile,HLSL30_020_B01,HLSL30_020_B02,HLSL30_020_B03,HLSL30_020_B04,HLSL30_020_B05,HLSL30_020_B06,HLSL30_020_B07,HLSL30_020_B09,HLSL30_020_B10,HLSL30_020_B11,HLSL30_020_Fmask,HLSL30_020_Fmask_bitmask,HLSL30_020_Fmask_Aerosol_level,HLSL30_020_Fmask_Aerosol_level_Description,HLSL30_020_Fmask_Water,HLSL30_020_Fmask_Water_Description,HLSL30_020_Fmask_Snow/ice,HLSL30_020_Fmask_Snow/ice_Description,HLSL30_020_Fmask_Cloud_shadow,HLSL30_020_Fmask_Cloud_shadow_Description,HLSL30_020_Fmask_Adjacent_to_cloud/shadow,HLSL30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSL30_020_Fmask_Cloud,HLSL30_020_Fmask_Cloud_Description,"HLSL30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSL30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description"
US-Tw1_LS,1,38.1074,-121.6469,2014-01-13,10SFH,0.0406,0.0472,0.065,0.0921,0.2012,0.2443,0.1448,0.0013,12.68,12.32,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2014-01-29,10SFH,0.2465,0.25,0.2523,0.2837,0.3632,0.2941,0.2421,0.0124,5.02,4.03,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2014-02-14,10SFH,0.6735,0.669,0.6287,0.6342,0.6443,0.4375,0.3742,0.0767,-10.25,-10.96,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2014-03-18,10SFH,0.0357,0.0437,0.0624,0.0779,0.1583,0.2477,0.1637,0.0016,15.39,15.12,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2014-04-03,10SFH,0.0377,0.0481,0.071,0.0808,0.1864,0.2152,0.1417,0.01,10.74,9.78,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2014-04-19,10SFH,0.0378,0.0471,0.0725,0.0807,0.209,0.2134,0.1443,0.0127,14.27,13.43,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2014-05-05,10SFH,0.0351,0.0445,0.0657,0.0759,0.2126,0.2275,0.143,0.0016,20.25,19.07,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2014-05-21,10SFH,0.0333,0.0433,0.0679,0.0785,0.2428,0.217,0.1285,0.0015,23.18,21.46,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2014-06-06,10SFH,0.0301,0.0418,0.0691,0.0787,0.262,0.2137,0.1256,0.0014,25.42,24.33,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2014-06-22,10SFH,0.0293,0.0398,0.0688,0.0774,0.2822,0.2107,0.1171,0.0014,25.81,24.48,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2014-07-08,10SFH,0.0284,0.0407,0.0796,0.0859,0.3213,0.2207,0.1203,0.0023,24.84,21.86,132.0,0b10000100,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2014-07-24,10SFH,0.0249,0.0354,0.0614,0.0728,0.2797,0.199,0.1079,0.0011,27.37,26.15,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2014-08-09,10SFH,0.0225,0.0333,0.0615,0.0703,0.2803,0.1906,0.1028,0.0009,26.31,24.9,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2014-08-25,10SFH,0.0256,0.0343,0.0592,0.0661,0.2861,0.1849,0.0974,0.0012,20.54,18.85,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2014-09-10,10SFH,0.0195,0.0288,0.0533,0.0591,0.255,0.1704,0.0928,0.0007,26.68,25.62,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2014-09-26,10SFH,0.7612,0.7792,0.7458,0.7706,0.8141,0.696,0.5884,0.0014,9.71,9.28,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2014-10-12,10SFH,0.0253,0.0311,0.0495,0.0561,0.2423,0.1729,0.0987,0.0015,22.45,22.19,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2014-10-28,10SFH,0.0214,0.0259,0.0414,0.0466,0.206,0.1477,0.0798,0.0012,17.65,16.85,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
