Category,ID,Latitude,Longitude,Date,HLS_Tile,HLSS30_020_B01,HLSS30_020_B02,HLSS30_020_B03,HLSS30_020_B04,HLSS30_020_B05,HLSS30_020_B06,HLSS30_020_B07,HLSS30_020_B08,HLSS30_020_B09,HLSS30_020_B10,HLSS30_020_B11,HLSS30_020_B12,HLSS30_020_B8A,HLSS30_020_Fmask,HLSS30_020_Fmask_bitmask,HLSS30_020_Fmask_Aerosol_level,HLSS30_020_Fmask_Aerosol_level_Description,HLSS30_020_Fmask_Water,HLSS30_020_Fmask_Water_Description,HLSS30_020_Fmask_Snow/ice,HLSS30_020_Fmask_Snow/ice_Description,HLSS30_020_Fmask_Cloud_shadow,HLSS30_020_Fmask_Cloud_shadow_Description,HLSS30_020_Fmask_Adjacent_to_cloud/shadow,HLSS30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSS30_020_Fmask_Cloud,HLSS30_020_Fmask_Cloud_Description,"HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description"
US-Tw4_S2,1,38.1027,-121.6413,2018-05-10,10SFH,0.0697,0.0405,0.0837,0.1051,0.1564,0.2587,0.3007,0.2995,0.1245,0.0623,0.2103,0.1558,0.3325,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-05-15,10SFH,0.0281,0.0385,0.068,0.0759,0.1151,0.1932,0.2138,0.2164,0.0566,0.0013,0.2063,0.1265,0.2428,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-05-20,10SFH,0.0467,0.0553,0.0843,0.1058,0.1497,0.254,0.2992,0.2998,0.0875,0.0366,0.2044,0.1391,0.3315,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-05-30,10SFH,0.0263,0.0399,0.0713,0.0808,0.1225,0.2201,0.2588,0.261,0.0899,0.0015,0.2116,0.126,0.2958,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-06-04,10SFH,0.026,0.0362,0.0638,0.0685,0.1175,0.2106,0.2388,0.2399,0.0984,0.0011,0.1982,0.1199,0.2717,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-06-09,10SFH,0.0172,0.0301,0.0524,0.0528,0.0841,0.1717,0.1958,0.2023,0.0729,0.014,0.1447,0.0871,0.2173,196.0,0b11000100,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-06-14,10SFH,0.0233,0.033,0.0594,0.0656,0.1024,0.2069,0.2395,0.2431,0.1086,0.0013,0.1872,0.1108,0.2663,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-06-19,10SFH,0.0187,0.029,0.0576,0.0621,0.1058,0.1973,0.2275,0.2355,0.0575,0.0009,0.184,0.108,0.2674,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-06-24,10SFH,0.017,0.0242,0.0497,0.0522,0.0922,0.2024,0.2487,0.2441,0.0837,0.001,0.1688,0.0954,0.2743,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-06-29,10SFH,0.0167,0.027,0.0551,0.06,0.1031,0.1995,0.2449,0.2441,0.0698,0.001,0.1822,0.1051,0.2768,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-07-04,10SFH,0.0148,0.0202,0.0488,0.0542,0.0973,0.2068,0.2437,0.2527,0.0867,0.001,0.1658,0.0942,0.2835,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-07-09,10SFH,0.0212,0.0321,0.0567,0.0677,0.1054,0.204,0.2385,0.2539,0.0702,0.001,0.18,0.1008,0.2785,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-07-14,10SFH,0.0142,0.0202,0.0457,0.0479,0.0903,0.2011,0.2556,0.2529,0.0397,0.0017,0.1582,0.0915,0.2941,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-07-19,10SFH,0.0163,0.0238,0.0491,0.0541,0.0972,0.2021,0.2446,0.251,0.0729,0.0007,0.1709,0.0971,0.2871,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-07-24,10SFH,0.0182,0.022,0.0484,0.051,0.0855,0.1994,0.2542,0.2553,0.0549,0.0013,0.16,0.0913,0.2887,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-07-29,10SFH,0.0126,0.0283,0.0469,0.0451,0.0626,0.1569,0.2029,0.1965,-0.0061,0.0068,0.0731,0.0355,0.2136,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-08-03,10SFH,0.0193,0.025,0.0489,0.0487,0.0911,0.2062,0.2685,0.2698,0.0679,0.0009,0.1562,0.0856,0.2977,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-08-08,10SFH,0.0243,0.0321,0.0556,0.0549,0.0904,0.2117,0.2752,0.2787,0.0531,0.0014,0.1706,0.0922,0.3025,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-08-13,10SFH,0.0144,0.0176,0.044,0.0461,0.0779,0.2009,0.2507,0.2582,0.0656,0.0008,0.1577,0.0842,0.2899,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-08-18,10SFH,0.0206,0.0257,0.048,0.0568,0.0918,0.1932,0.2429,0.2624,0.1089,0.001,0.1654,0.0916,0.2821,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-08-23,10SFH,0.0174,0.0213,0.0463,0.0452,0.092,0.2232,0.2817,0.2883,0.084,0.0013,0.1535,0.0818,0.3165,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-08-28,10SFH,0.0168,0.0193,0.0427,0.0467,0.0747,0.1954,0.2523,0.2515,0.0407,0.0007,0.1578,0.081,0.2809,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-09-02,10SFH,0.0166,0.018,0.0426,0.0421,0.0748,0.2047,0.254,0.2589,0.0611,0.001,0.1528,0.077,0.2871,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-09-07,10SFH,0.0176,0.0181,0.0402,0.0439,0.0802,0.1845,0.2283,0.2393,0.0833,0.0008,0.1512,0.0814,0.2631,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-09-12,10SFH,0.2055,0.2024,0.2155,0.2238,0.2544,0.3137,0.3436,0.3524,0.192,0.0687,0.1343,0.1283,0.3582,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-09-17,10SFH,0.0134,0.0188,0.043,0.0435,0.0854,0.1861,0.2405,0.2463,0.0803,0.0012,0.1499,0.0834,0.2781,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-09-22,10SFH,0.0126,0.0168,0.0429,0.0444,0.0868,0.1942,0.2437,0.2611,0.097,0.001,0.1518,0.084,0.2882,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-09-27,10SFH,0.0188,0.0252,0.0513,0.0604,0.0841,0.1951,0.2405,0.256,0.0785,0.0028,0.1685,0.089,0.2817,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
