Category,ID,Latitude,Longitude,Date,HLS_Tile,HLSS30_020_B01,HLSS30_020_B02,HLSS30_020_B03,HLSS30_020_B04,HLSS30_020_B05,HLSS30_020_B06,HLSS30_020_B07,HLSS30_020_B08,HLSS30_020_B09,HLSS30_020_B10,HLSS30_020_B11,HLSS30_020_B12,HLSS30_020_B8A,HLSS30_020_Fmask,HLSS30_020_Fmask_bitmask,HLSS30_020_Fmask_Aerosol_level,HLSS30_020_Fmask_Aerosol_level_Description,HLSS30_020_Fmask_Water,HLSS30_020_Fmask_Water_Description,HLSS30_020_Fmask_Snow/ice,HLSS30_020_Fmask_Snow/ice_Description,HLSS30_020_Fmask_Cloud_shadow,HLSS30_020_Fmask_Cloud_shadow_Description,HLSS30_020_Fmask_Adjacent_to_cloud/shadow,HLSS30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSS30_020_Fmask_Cloud,HLSS30_020_Fmask_Cloud_Description,"HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description"
US-Tw1_S2,1,38.1074,-121.6469,2018-01-10,10SFH,0.6402,0.5434,0.5388,0.528,0.5264,0.533,0.5468,0.4988,0.1463,0.0449,0.3302,0.2279,0.5468,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2018-01-20,10SFH,0.0352,0.0442,0.0615,0.0904,0.1015,0.1146,0.126,0.1491,0.0593,0.0011,0.2326,0.1484,0.1632,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2018-01-25,10SFH,0.0332,0.0428,0.0612,0.0928,0.1023,0.1245,0.1413,0.154,0.0459,0.0014,0.2197,0.1435,0.1645,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2018-01-30,10SFH,0.1996,0.1683,0.1834,0.2127,0.2351,0.2635,0.2853,0.2792,0.0798,0.0735,0.2685,0.2221,0.3045,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2018-02-09,10SFH,0.0414,0.0495,0.0701,0.0956,0.1088,0.1256,0.1395,0.1533,0.0614,0.0046,0.2573,0.1656,0.1703,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2018-02-19,10SFH,0.042,0.0508,0.0708,0.0979,0.1162,0.136,0.1453,0.1562,0.0889,0.0017,0.2632,0.1721,0.1755,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2018-02-24,10SFH,0.0385,0.0504,0.0726,0.101,0.1193,0.143,0.1589,0.168,0.0714,0.01,0.2586,0.1702,0.1867,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2018-03-06,10SFH,0.0391,0.0524,0.0726,0.103,0.1163,0.1395,0.1552,0.1649,0.0778,0.0013,0.2663,0.1745,0.1763,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2018-03-11,10SFH,0.0409,0.0537,0.0777,0.1059,0.1172,0.1496,0.1662,0.1715,0.0574,0.0014,0.2721,0.1732,0.1934,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2018-03-26,10SFH,0.0403,0.0529,0.0726,0.097,0.1107,0.1452,0.1649,0.1598,0.0952,0.0016,0.2727,0.1805,0.1884,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
