Category,ID,Latitude,Longitude,Date,HLS_Tile,HLSL30_020_B01,HLSL30_020_B02,HLSL30_020_B03,HLSL30_020_B04,HLSL30_020_B05,HLSL30_020_B06,HLSL30_020_B07,HLSL30_020_B09,HLSL30_020_B10,HLSL30_020_B11,HLSL30_020_Fmask,HLSL30_020_Fmask_bitmask,HLSL30_020_Fmask_Aerosol_level,HLSL30_020_Fmask_Aerosol_level_Description,HLSL30_020_Fmask_Water,HLSL30_020_Fmask_Water_Description,HLSL30_020_Fmask_Snow/ice,HLSL30_020_Fmask_Snow/ice_Description,HLSL30_020_Fmask_Cloud_shadow,HLSL30_020_Fmask_Cloud_shadow_Description,HLSL30_020_Fmask_Adjacent_to_cloud/shadow,HLSL30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSL30_020_Fmask_Cloud,HLSL30_020_Fmask_Cloud_Description,"HLSL30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSL30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description"
US-Tw4_LS,1,38.1027,-121.6413,2014-10-28,10SFH,0.0181,0.0227,0.0373,0.0396,0.1488,0.0949,0.0602,0.0008,17.77,17.02,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2014-11-13,10SFH,0.8784,0.8773,0.8176,0.8111,0.8002,0.4309,0.2455,0.0022,7.86,7.7,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2014-11-29,10SFH,-0.0871,-0.081,-0.0306,-0.0363,0.0549,0.0493,0.0365,0.0015,9.71,8.82,196.0,0b11000100,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2014-12-31,10SFH,0.0236,0.0301,0.0475,0.0555,0.1417,0.1182,0.0881,0.002,5.02,5.3,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2015-01-16,10SFH,0.5409,0.491,0.4231,0.3972,0.4044,0.1776,0.1168,0.0183,0.03,0.23,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2015-02-01,10SFH,-0.0632,-0.0393,0.0098,0.0206,0.0628,0.0545,0.0389,0.0017,7.19,6.74,200.0,0b11001000,0b11,High aerosol,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2015-02-17,10SFH,0.2721,0.2954,0.3632,0.3873,0.4941,0.5388,0.4509,0.0017,11.68,11.02,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2015-03-05,10SFH,0.0329,0.0371,0.0549,0.0603,0.1417,0.1293,0.0936,0.0011,17.42,17.18,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2015-03-21,10SFH,0.0311,0.0344,0.0514,0.0533,0.1506,0.1189,0.0809,0.0028,19.36,18.17,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2015-04-06,10SFH,0.0297,0.0462,0.0875,0.0898,0.2151,0.1395,0.1043,0.0294,6.0,2.97,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2015-04-22,10SFH,0.0123,0.0228,0.0469,0.0403,0.1948,0.1033,0.058,0.0013,18.98,17.22,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2015-05-08,10SFH,0.0164,0.0261,0.047,0.0471,0.2187,0.0885,0.0514,0.0015,19.92,18.58,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2015-05-24,10SFH,0.0151,0.0225,0.046,0.0424,0.227,0.0952,0.0527,0.0015,21.4,19.56,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
