Category,ID,Latitude,Longitude,Date,HLS_Tile,HLSS30_020_B01,HLSS30_020_B02,HLSS30_020_B03,HLSS30_020_B04,HLSS30_020_B05,HLSS30_020_B06,HLSS30_020_B07,HLSS30_020_B08,HLSS30_020_B09,HLSS30_020_B10,HLSS30_020_B11,HLSS30_020_B12,HLSS30_020_B8A,HLSS30_020_Fmask,HLSS30_020_Fmask_bitmask,HLSS30_020_Fmask_Aerosol_level,HLSS30_020_Fmask_Aerosol_level_Description,HLSS30_020_Fmask_Water,HLSS30_020_Fmask_Water_Description,HLSS30_020_Fmask_Snow/ice,HLSS30_020_Fmask_Snow/ice_Description,HLSS30_020_Fmask_Cloud_shadow,HLSS30_020_Fmask_Cloud_shadow_Description,HLSS30_020_Fmask_Adjacent_to_cloud/shadow,HLSS30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSS30_020_Fmask_Cloud,HLSS30_020_Fmask_Cloud_Description,"HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description"
US-Tw4_S2,1,38.1027,-121.6413,2016-08-23,10SFH,0.0154,0.0183,0.0369,0.0459,0.0744,0.1548,0.1979,0.2004,0.048,0.0008,0.1353,0.0801,0.2295,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-09-02,10SFH,0.0073,0.0178,0.0355,0.0449,0.0607,0.1231,0.1553,0.1564,0.025,0.0069,0.1025,0.0631,0.1828,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-09-12,10SFH,0.013,0.0181,0.0421,0.0531,0.077,0.1629,0.2025,0.2103,0.0562,0.0009,0.1405,0.0822,0.2421,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-09-22,10SFH,0.0159,0.0157,0.0339,0.0422,0.0691,0.1382,0.174,0.1873,0.0644,0.0012,0.1282,0.0726,0.2127,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-10-02,10SFH,0.0239,0.0214,0.0462,0.0636,0.1068,0.216,0.2683,0.2738,0.0474,0.0012,0.1943,0.1086,0.3297,200.0,0b11001000,0b11,High aerosol,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-10-12,10SFH,0.0151,0.0179,0.0368,0.049,0.0774,0.1412,0.1758,0.1812,0.0529,0.001,0.1388,0.0802,0.2106,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-10-22,10SFH,0.0196,0.0217,0.0426,0.054,0.0739,0.131,0.1534,0.1609,0.0483,0.0163,0.1333,0.0874,0.1802,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-11-01,10SFH,-0.0315,-0.0287,-0.0166,-0.006,-0.001,0.0099,0.018,0.0182,-0.0041,0.001,0.025,0.0153,0.0241,200.0,0b11001000,0b11,High aerosol,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-11-11,10SFH,0.0456,0.0362,0.0704,0.0864,0.1149,0.1733,0.2006,0.1967,0.0537,0.0197,0.1751,0.1562,0.228,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-11-21,10SFH,0.017,0.0234,0.0404,0.0542,0.0718,0.1135,0.1354,0.1378,0.0281,0.001,0.1553,0.0962,0.1577,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-12-01,10SFH,0.0214,0.0288,0.0412,0.0531,0.0667,0.0987,0.122,0.1261,0.0481,0.0009,0.1572,0.104,0.1425,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-12-11,10SFH,0.037,0.0227,0.0499,0.0645,0.0857,0.1163,0.1319,0.1178,0.0668,0.0103,0.1134,0.1063,0.1418,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-12-21,10SFH,0.0179,0.0263,0.0417,0.0621,0.0791,0.1091,0.1278,0.126,0.0241,0.0012,0.1789,0.1135,0.1431,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-12-31,10SFH,0.7305,0.6166,0.6597,0.6729,0.6895,0.7048,0.7107,0.6323,0.2797,0.0044,0.5628,0.4798,0.7024,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2017-01-30,10SFH,0.0692,-0.0063,0.033,0.0907,0.1226,0.1684,0.1969,0.1757,0.1337,0.0668,0.1628,0.1523,0.2338,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2017-03-01,10SFH,0.0287,0.0442,0.0709,0.0832,0.1101,0.1446,0.1642,0.1753,0.0661,0.0018,0.2089,0.1419,0.1819,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2017-03-11,10SFH,0.0287,0.038,0.0632,0.0726,0.0965,0.1448,0.1579,0.1614,0.0358,0.0201,0.1756,0.1224,0.1789,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2017-03-21,10SFH,0.1957,0.0171,0.0782,0.1762,0.2231,0.3005,0.3263,0.1222,0.1113,0.0025,0.2587,0.2307,0.3375,136.0,0b10001000,0b10,Moderate aerosol,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2017-03-31,10SFH,0.0329,0.0393,0.0628,0.0734,0.0973,0.1466,0.1731,0.1815,0.0718,0.0013,0.2032,0.1395,0.1991,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2017-04-10,10SFH,0.028,0.0387,0.0628,0.0766,0.0985,0.1565,0.1884,0.1869,0.048,0.0166,0.1925,0.1301,0.2054,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2017-04-20,10SFH,0.0338,0.0407,0.0584,0.074,0.0971,0.148,0.1687,0.175,0.0513,0.0011,0.213,0.1412,0.1926,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2017-04-30,10SFH,0.0295,0.0369,0.0575,0.0721,0.0949,0.13,0.1536,0.1555,0.0419,0.001,0.1946,0.1292,0.1775,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2017-05-10,10SFH,0.0342,0.0531,0.0833,0.0884,0.1229,0.2044,0.2367,0.2442,0.0537,0.0404,0.1911,0.136,0.2604,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2017-05-20,10SFH,0.0271,0.0459,0.0752,0.0838,0.1152,0.1922,0.2209,0.2405,0.0488,0.001,0.2008,0.1269,0.2504,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2017-05-30,10SFH,0.0289,0.0406,0.0739,0.078,0.1121,0.2043,0.2382,0.2489,0.0511,0.0105,0.1805,0.118,0.2692,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2017-06-19,10SFH,0.0212,0.0339,0.062,0.0679,0.0986,0.1769,0.2138,0.2209,0.024,0.001,0.1746,0.104,0.249,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2017-06-29,10SFH,0.0202,0.033,0.0604,0.0667,0.0991,0.192,0.2256,0.237,0.0679,0.0009,0.1692,0.1021,0.2563,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
