Category,ID,Latitude,Longitude,Date,HLS_Tile,HLSL30_020_B01,HLSL30_020_B02,HLSL30_020_B03,HLSL30_020_B04,HLSL30_020_B05,HLSL30_020_B06,HLSL30_020_B07,HLSL30_020_B09,HLSL30_020_B10,HLSL30_020_B11,HLSL30_020_Fmask,HLSL30_020_Fmask_bitmask,HLSL30_020_Fmask_Aerosol_level,HLSL30_020_Fmask_Aerosol_level_Description,HLSL30_020_Fmask_Water,HLSL30_020_Fmask_Water_Description,HLSL30_020_Fmask_Snow/ice,HLSL30_020_Fmask_Snow/ice_Description,HLSL30_020_Fmask_Cloud_shadow,HLSL30_020_Fmask_Cloud_shadow_Description,HLSL30_020_Fmask_Adjacent_to_cloud/shadow,HLSL30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSL30_020_Fmask_Cloud,HLSL30_020_Fmask_Cloud_Description,"HLSL30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSL30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description"
US-Tw1_LS,1,38.1074,-121.6469,2018-01-24,10SFH,0.9229,0.9193,0.8719,0.8556,0.8231,0.4517,0.4418,0.2439,-38.59,-39.34,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2018-02-09,10SFH,0.0417,0.051,0.0723,0.094,0.1591,0.262,0.1749,0.0023,17.6,17.3,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2018-02-25,10SFH,0.0471,0.0551,0.0753,0.0977,0.1736,0.2665,0.177,0.0015,13.87,13.65,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2018-03-29,10SFH,0.0432,0.0512,0.0728,0.0848,0.2063,0.2663,0.1694,0.0017,24.07,23.32,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2018-04-14,10SFH,0.0409,0.0481,0.0683,0.0814,0.2161,0.2687,0.1703,0.0012,22.68,21.22,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2018-04-30,10SFH,-0.0159,0.0035,0.1033,0.0913,0.3021,0.1865,0.1467,0.0396,-8.48,-8.56,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2018-05-16,10SFH,0.2388,0.238,0.2577,0.2686,0.4089,0.1999,0.1821,0.0987,-17.65,-17.86,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2018-06-01,10SFH,0.0342,0.0453,0.0717,0.0886,0.2445,0.2452,0.1484,0.0011,25.9,24.39,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2018-06-17,10SFH,0.0178,0.026,0.0465,0.0522,0.198,0.1384,0.0824,0.0013,20.67,19.14,200.0,0b11001000,0b11,High aerosol,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2018-07-03,10SFH,0.028,0.0412,0.0751,0.0785,0.3151,0.1988,0.1099,0.0009,25.08,24.17,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2018-07-19,10SFH,0.0227,0.0337,0.0595,0.066,0.3183,0.1832,0.0993,0.0009,27.49,26.48,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2018-08-04,10SFH,0.0223,0.034,0.068,0.0671,0.3422,0.1734,0.0913,0.001,26.95,26.09,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2018-08-20,10SFH,0.0197,0.0285,0.0577,0.0595,0.3467,0.1572,0.0798,0.0011,24.81,24.42,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2018-09-05,10SFH,0.0183,0.0276,0.0557,0.055,0.3335,0.1502,0.0731,0.0011,22.07,21.4,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2018-09-21,10SFH,0.0189,0.0252,0.0512,0.0518,0.3163,0.1457,0.0742,0.0009,25.95,25.45,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2018-10-07,10SFH,0.02,0.0256,0.0474,0.0521,0.2825,0.1542,0.0836,0.0016,20.78,20.17,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2018-10-23,10SFH,0.0405,0.0649,0.1265,0.1364,0.3417,0.1973,0.1395,0.0436,0.72,-1.74,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2018-11-08,10SFH,0.0253,0.0353,0.0605,0.0704,0.2621,0.1681,0.0981,0.0035,16.13,16.48,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_LS,1,38.1074,-121.6469,2018-11-24,10SFH,0.9778,0.9756,0.9007,0.8899,0.8453,0.4301,0.2694,0.0019,7.89,8.18,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
